"model","tool_called","tool_name","tool_name_is_file_op","args_valid_json","args_non_empty","latency_s","verdict","error"
"qwen/qwen3.5-397b-a17b","True","Write","True","True","True","7.944647799999075","PASS",""
"zai-glm-4.7","False","","False","False","False","0.3251361000002362","FAIL","HTTPStatusError(""Client error '404 Not Found' for url 'https://api.cerebras.ai/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"")"
"qwen-3-235b-a22b-instruct-2507","False","","False","False","False","0.5033218000007764","FAIL","HTTPStatusError(""Client error '429 Too Many Requests' for url 'https://api.cerebras.ai/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/429"")"
"gpt-oss-120b","False","","False","False","False","0.2512980999999854","FAIL","HTTPStatusError(""Client error '404 Not Found' for url 'https://api.cerebras.ai/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"")"
"qwen-3-235b-a22b-instruct-2507","False","","False","False","False","0.31948600000032457","FAIL","HTTPStatusError(""Client error '429 Too Many Requests' for url 'https://api.cerebras.ai/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/429"")"
"qwen-3-235b-a22b-instruct-2507","False","","False","False","False","0.3781395000005432","FAIL","HTTPStatusError(""Client error '429 Too Many Requests' for url 'https://api.cerebras.ai/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/429"")"
"z-ai/glm4.7","True","Write","True","True","True","17.040228099998785","PASS",""
"z-ai/glm5","True","Write","True","True","True","34.85483569999633","PASS",""
"z-ai/glm-5.1","True","Write","True","True","True","28.8265207000004","PASS",""
"deepseek-ai/deepseek-v4-pro","False","","False","False","False","19.65997200000129","FAIL",""
"qwen/qwen3.5-122b-a10b","True","Write","True","True","True","2.887080900000001","PASS",""
"nvidia/nemotron-3-super-120b-a12b","True","Write","True","True","True","27.29712290000316","PASS",""
"openai/gpt-oss-120b","False","","False","False","False","2.0961637000000337","FAIL",""
"mistralai/mistral-medium-3.5-128b","True","Write","True","True","True","7.279191100002208","PASS",""
"nvidia/llama-3.1-nemotron-ultra-253b-v1","False","","False","False","False","0.4237392000068212","FAIL","HTTPStatusError(""Client error '404 Not Found' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"")"
"qwen3-8b-q5km","False","","False","False","False","2.325108099998033","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'http://localhost:8081/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"")"
"qwen3-8b-q5km","False","","False","False","False","0.30228250000072876","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'http://127.0.0.1:8081/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"")"
"qwen3-8b-q5km","False","","False","False","False","0.29056689999924856","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'http://127.0.0.1:8081/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"")"
stockmark/stockmark-2-100b-instruct,False,,False,False,False,1.0162972999969497,FAIL,"HTTPStatusError(""Client error '400 Bad Request' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
mistralai/devstral-2-123b-instruct-2512,False,,False,False,False,0.4288820000074338,FAIL,"HTTPStatusError(""Client error '400 Bad Request' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
mistralai/mistral-small-4-119b-2603,False,,False,False,False,2.5791629000013927,FAIL,
mistralai/mistral-large-3-675b-instruct-2512,False,,False,False,False,5.729021000006469,FAIL,
nvidia/nemotron-3-super-120b-a12b,True,Write,True,True,True,17.50192940000852,PASS,
qwen/qwen3-coder-480b-a35b-instruct,False,,False,False,False,17.83051929999783,FAIL,
stockmark/stockmark-2-100b-instruct,False,,False,False,False,0.9043629999941913,FAIL,"HTTPStatusError(""Client error '400 Bad Request' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
mistralai/mistral-small-4-119b-2603,False,,False,False,False,2.499753399999463,FAIL,
qwen/qwen3.5-397b-a17b,True,Write,True,True,True,13.673855700006243,PASS,
qwen/qwen3.5-122b-a10b,False,,False,False,False,120.29785840000841,FAIL,ReadTimeout('The read operation timed out')
qwen/qwen3-coder-480b-a35b-instruct,False,,False,False,False,8.102281700004824,FAIL,
nvidia/nemotron-3-super-120b-a12b,True,Write,True,True,True,8.273568400007207,PASS,
