"model","run","prompt_tokens_est","completion_tokens_est","usage_prompt_tokens","usage_completion_tokens","total_seconds","ttft_seconds","tokens_per_second_est","tokens_per_second_usage","chars_per_second","output_chars","error"
"qwen3-8b-q8","3","1504","745","1527","752","13.281632700003684","0.10733990000153426","14225.83773581095","56.54952499612567","57.080862814881215","237.3955123754571","3153"
"qwen3.6-35b-iq3xxs","1","0","0","85003","61","4.805080400008592","1.771453900000779","47984.878409741636","","20.10794670993377","0.0","0"
"qwen3.6-35b-iq3xxs","2","0","0","85003","61","4.183233100004145","1.1130286999978125","76370.89681529961","","19.868384007225767","0.0","0"
"gemma4-26b-iq4xs","1","0","0","74795","29","3.8072672999987844","2.9553125999955228","25308.659395325325","","34.03936852498023","0.0","0"
"gemma4-26b-iq4xs","2","0","0","74795","29","2.86192189999565","2.019462199998088","37037.08838921115","","34.423011569673804","0.0","0"
"qwen3.6-35b-iq3xxs","1","0","719","5844","800","30.111509399997885","12.605731999996351","463.5986232296301","41.072154841860204","45.69919871138827","108.69597921916959","3273"
"qwen3.6-35b-iq3xxs","2","0","134","5844","138","3.1525646000081906","0.16803250000521075","34778.98620694673","44.89816008340678","46.238403667986084","226.48227414535612","714"
"qwen3.6-35b-iq3xxs","3","0","137","5844","145","3.270323799995822","0.17133179999655113","34109.254674950236","44.207923092422384","46.78940765256384","202.12065851119834","661"
"gemma4-26b-iq4xs","1","0","658","5957","800","37.39686999999685","11.276665099998354","528.2590151587342","25.19122658184193","30.62763110254338","85.38147711293135","3193"
"gemma4-26b-iq4xs","2","0","682","5957","800","26.210491799996817","0.2538589000032516","23465.791429505516","26.2745943446374","30.8206385274339","118.57846940515543","3108"
"gemma4-26b-iq4xs","3","0","682","5957","800","26.528541799998493","0.2765365999948699","21541.45237957836","25.978967884704893","30.473862621354716","117.15683520909455","3108"
"qwen3.6-35b-iq3xxs","1","0","121","5844","126","18.123288200004026","15.120953000005102","386.48357679559143","40.30196228590443","41.96733262829718","34.76190374767974","630"
"qwen3.6-35b-iq3xxs","2","0","225","5844","233","5.746766500000376","0.18188319998444058","32130.510132326308","40.43211472185871","41.86970102308035","193.15209692266552","1110"
"qwen3.6-35b-iq3xxs","3","0","111","5844","115","2.8791171000048053","0.1745824000099674","33474.1646332411","41.042180009822715","42.521177487654164","189.98879899643092","547"
"qwen3.6-35b-iq3xxs","1","0","738","5844","800","34.26912869999069","15.040348799986532","388.55481862263946","38.37997022368749","41.60430376551489","102.04519731489263","3497"
"qwen3.6-35b-iq3xxs","2","0","116","5844","120","2.99956579998252","0.17972489999374375","32516.362508497325","41.1370726626675","42.555592409656036","188.02721380650718","564"
"qwen3.6-35b-iq4xs","1","0","0","","","0.0","","","","","0.0","0"
"qwen3.6-35b-iq4xs","2","0","0","","","0.0","","","","","0.0","0"
"qwen3.6-35b-iq3xxs","1","0","110","5844","114","62.2107625999779","59.70599319998291","97.87962123711347","43.91621839528233","45.51317179147441","8.503351797847724","529"
"qwen3.6-35b-iq3xxs","2","0","742","5844","800","64.8364891000092","46.299387499981094","126.22197215897049","40.02783261428932","43.15669284559496","50.820148433970836","3295"
"qwen3.5-122b-iq2xxs","1","0","183","5844","189","11.069544300000416","4.419611599994823","1322.2881395294658","27.51907549377847","28.421340264066288","80.22010445361934","888"
"qwen3.5-122b-iq2xxs","1","0","731","5844","800","424.0604631000024","357.866156700009","16.330127592643223","11.043245858379041","12.085631582357363","8.423327121532779","3572"
"llama4-scout-iq2xxs","1","0","730","5844","800","132.38183420000132","65.5822565999988","89.10946806304477","10.928212815524937","11.976123633451985","27.012769702204082","3576"
"llama4-scout-iq2xxs","1","0","804","5625","800","420.8949550999969","183.73679190000985","30.6144454892907","3.39014263372421","3.3732762524619004","8.03525905696945","3382"
"qwen3.6-35b-iq4xs","1","0","742","5844","800","43.86464379998506","19.045357499999227","306.8464322604728","29.89610543315355","32.23299777159413","78.12670303733704","3427"
"qwen3.6-35b-iq4xs","2","0","742","5844","800","25.132900399999926","0.22143730000243522","26391.21773944919","29.785484578787134","32.113730004083166","124.89605059669155","3139"
"qwen3.5-122b-iq2xxs","1","0","725","5844","800","121.3101311000064","55.655714499996975","105.0026947367699","11.04266913857393","12.185014221874681","28.20044763763197","3421"
"qwen3.6-35b-iq4xs","1","0","0","","","0.0","","","","","0.0","0"
"qwen3.6-35b-iq4xs","2","0","0","","","0.0","","","","","0.0","0"
"qwen3.6-35b-iq4xs","1","0","747","5844","800","44.15847150000627","19.070120199990924","306.4479897721243","29.7747743989675","31.887308593271754","81.95482943741578","3619"
"qwen3.6-35b-iq4xs","2","0","748","5844","800","25.240884600003483","0.20848489998024888","28030.80702992706","29.881274227149135","31.95858206112207","139.45628514142942","3520"
"qwen3.6-35b-iq3s","1","0","754","5844","800","34.333045699982904","14.183117499982473","412.0391726295169","37.41948817465185","39.70237472111602","102.75814242724631","3528"
"qwen3.6-35b-iq3s","2","0","757","5844","800","20.337530000018887","0.20067890000063926","29121.148262131115","37.59276940769126","39.7281578945218","170.86637364501848","3475"
"reap-40b-i1-iq3xxs","1","0","800","5713","800","40.841348499991","15.92809479997959","358.67440969822206","32.111421881423446","32.111421881423446","89.14984773337743","3641"
"reap-40b-i1-iq3xxs","2","0","800","5713","800","25.143721400003415","0.16913060005754232","33778.630230462724","32.03255686582596","32.03255686582596","155.78441781491694","3917"
"qwen3.6-35b-iq3xxs","1","0","0","","","0.0","","","","","0.0","0"
"qwen3.6-35b-iq3xxs","2","0","0","","","0.0","","","","","0.0","0"
"qwen3.6-35b-iq3xxs","3","0","0","","","0.0","","","","","0.0","0"
"qwen3.6-35b-iq3xxs-with-header","1","0","0","","","0.0","","","","","0.0","0"
"qwen3.6-35b-iq3xxs-with-header","2","0","0","","","0.0","","","","","0.0","0"
"qwen3.6-35b-iq3xxs-with-header","3","0","0","","","0.0","","","","","0.0","0"
"qwen3.6-35b-iq3xxs","1","0","133","5846","136","15.36260159999074","12.800658599997405","456.69525160222497","51.91372329530596","53.0847095350497","37.03799752252529","569"
"qwen3.6-35b-iq3xxs","2","0","146","5846","150","2.922125999990385","0.09849409999151248","59353.80901499446","51.70645649670493","53.12307174319","200.53892268914078","586"
"qwen3.6-35b-iq3xxs","3","0","234","5846","241","4.874646500000381","0.12311340001178905","47484.67672438744","49.2472629519432","50.720471672727825","203.70707906715336","993"
"qwen3.6-35b-iq3xxs-with-header","1","0","802","5884","800","28.07404600000882","12.854874399999972","457.7252034450071","52.696692111647764","52.56527891436186","132.11490784046","3709"
"qwen3.6-35b-iq3xxs-with-header","2","0","265","5883","274","17.63356639999256","12.45240969999577","472.43867988073015","51.14688000078518","52.88394384986845","65.72691954138608","1159"
"qwen3.6-35b-iq3xxs-with-header","3","0","758","5884","800","27.86243629999808","12.465196199991624","472.0342869536184","49.22960186869348","51.95736344980842","128.45251439839979","3579"
"qwen3.6-35b-iq3xxs","1","0","742","5844","800","28.901187800001935","13.471362199998111","433.80913624316474","48.08868351692946","51.84763721501828","129.12964082395777","3732"
"qwen3.6-35b-iq3xxs","2","0","740","5844","800","17.568954399990616","2.1792811999912374","2681.6181408913626","48.08419193722904","51.982910202409776","192.21405685939988","3377"
"qwen3.6-35b-iq3xxs","3","0","748","5844","800","30.93055170000298","15.537741899999673","376.116429118965","48.59411697530618","51.97231762064832","117.29503033725877","3628"
"qwen3.6-35b-iq3xxs","1","0","754","5844","800","31.424486100004287","16.02911160000076","364.58664371640674","48.97574917711987","51.963659604371216","110.70984546663837","3479"
"qwen3.6-35b-iq3xxs","2","0","749","5844","800","30.994879999998375","15.53693079999357","376.1360641448193","48.454034251824766","51.753307612095874","115.47068419042718","3579"
"qwen3.6-35b-iq3xxs","3","0","755","5844","800","17.543451500008814","2.18041610000364","2680.2223667263524","49.14393414726791","52.07304280505209","191.86646367724782","3366"
"qwen3.6-35b-iq3xxs-with-header","1","0","758","5881","800","44.39704160000838","29.011908900007256","202.70986029459542","49.26834332731785","51.99825153278929","79.30708608294601","3521"
"qwen3.6-35b-iq3xxs-with-header","2","0","749","5881","800","30.278987400000915","15.043372999993153","390.9362614356951","49.161128677529305","52.508548654236904","110.93501759573039","3359"
"qwen3.6-35b-iq3xxs-with-header","3","0","748","5880","800","56.16378220000479","41.14045500000066","142.92501140300723","49.78923710054017","53.25052096314457","63.43945974492608","3563"
"qwen3.6-35b-iq3xxs-with-header","1","0","742","5882","800","56.77235010000004","41.71662839999772","140.99893077649395","49.28358897600276","53.135944987604056","64.30947448131089","3651"
"qwen3.6-35b-iq3xxs-with-header","2","0","746","5880","800","56.15411580000364","41.120724899999914","142.99358813103055","49.622869847667914","53.21487383127926","62.275043426109356","3497"
"qwen3.6-35b-iq3xxs-with-header","3","0","756","5881","800","179.5644248000026","164.54511540000385","35.740957643765235","50.33520382768485","53.26476595522207","18.667394745554027","3352"
"qwen3.6-35b-iq3xxs","1","0","262","5846","272","18.5434430000023","13.44509680000192","434.80534851925836","51.389213231533894","53.35063358388252","61.09976448278022","1133"
"qwen3.6-35b-iq3xxs","2","0","270","5846","282","5.371469299992896","0.10714389999338891","54562.13559858018","51.288622849952496","53.56811719883927","209.06756369276565","1123"
"qwen3.6-35b-iq3xxs","3","0","140","5846","143","2.7806923000025563","0.11734369999612682","49819.46197531661","52.56540582020019","53.69180737349019","221.52756707365057","616"
"qwen3.6-35b-iq3xxs-with-header","1","0","749","5884","800","28.528763099995558","13.46011479999288","437.1433741414384","49.705851851348","53.090362458048595","125.55749393847915","3582"
"qwen3.6-35b-iq3xxs-with-header","2","0","648","5884","800","28.22260059999826","13.09928170000785","449.18493507903366","42.847737608734214","52.89844149226446","75.4714290928998","2130"
"qwen3.6-35b-iq3xxs-with-header","3","0","755","5884","800","28.11082999999053","13.0822424999933","449.7699840071772","50.237588861903305","53.231882237778336","117.85493349008607","3313"
"qwen3.6-35b-iq3xxs","1","0","206","5846","216","17.338784399995347","13.327371399995172","438.6461384277261","51.353475695469655","53.84636286515265","50.81094381681316","881"
"qwen3.6-35b-iq3xxs","2","0","137","5846","140","2.6773495000088587","0.11665630000061356","50113.02432846964","53.5011378948321","54.67269565895251","218.12617291768134","584"
"qwen3.6-35b-iq3xxs","3","0","271","5846","282","5.290172100008931","0.10737019999942277","54447.13710164859","52.288319181079025","54.410723280680024","216.0610237988421","1143"
"qwen3.6-35b-iq3xxs-with-header","1","0","150","5883","155","16.18226030000369","13.336842199991224","441.1089155725237","52.71633015877098","54.47354116406335","40.414626132287026","654"
"qwen3.6-35b-iq3xxs-with-header","2","0","749","5884","800","27.638236400001915","12.949407899999642","454.3837096984305","50.99113247866459","54.46315885571652","127.54069937688773","3525"
"qwen3.6-35b-iq3xxs-with-header","3","0","752","5883","800","27.626795700009097","12.935275100011495","454.8028514673625","51.18598819513092","54.45317893099034","124.69777665887129","3445"
"qwen3.6-35b-iq3xxs","1","0","254","5846","264","18.167695399999502","13.309904399997322","439.2217873481628","52.28714038950749","54.345689223740074","59.61130325864169","1083"
"qwen3.6-35b-iq3xxs","2","0","105","5846","108","2.0851236000016797","0.10184920000028796","57398.58535936926","52.942749626539985","54.4553996158697","226.36547780650497","472"
"qwen3.6-35b-iq3xxs","3","0","253","5846","263","4.9319057000102475","0.11435509999864735","51121.46288245255","52.51631399562068","54.59205763181122","223.0375167144243","1100"
"qwen3.6-35b-iq3xxs-with-header","1","0","160","5883","163","16.327514499993413","13.334224899997935","441.19549836008173","53.45289677291556","54.45513858740773","46.608441229698926","761"
"qwen3.6-35b-iq3xxs-with-header","2","0","742","5883","800","27.700260600002366","12.968685100000584","453.631185786116","50.368000354063305","54.30512167553995","123.03133350303963","3408"
"qwen3.6-35b-iq3xxs-with-header","3","0","110","5882","112","15.006537499997648","12.957501500000944","453.94553880619435","53.68378105615369","54.65984980262922","36.25086733032755","544"
qwen3.6-35b-iq3xxs-256k,1,0,0,,,0.0,,,,,0.0,0,"InternalServerError(""Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}"")"
qwen3.6-35b-iq3xxs-256k,2,0,0,,,0.0,,,,,0.0,0,"InternalServerError(""Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}"")"
qwen3.6-35b-iq3xxs-256k,3,0,0,,,0.0,,,,,0.0,0,"InternalServerError(""Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}"")"
qwen3.6-35b-iq3xxs-128k,1,0,245,5846,252,17.17073640000308,12.614767699997174,463.4251013596794,53.77561088154149,55.31205690672839,60.91759698785035,1046,
qwen3.6-35b-iq3xxs-128k,2,0,236,5846,243,4.4518878999806475,0.09550510000553913,61211.390801757625,54.17338439618953,55.78022206895787,224.84842891132803,1001,
qwen3.6-35b-iq3xxs-128k,3,0,259,5846,266,4.901133200008189,0.1031041000096593,56699.976038317756,53.98049795072718,55.439430327773856,237.0880269073402,1162,
qwen3.6-35b-iq3xxs-256k,1,0,252,5846,263,20.94129720001365,15.452134999999544,378.3295965250221,45.90864522082302,47.91259402014466,52.38452945499885,1097,
qwen3.6-35b-iq3xxs-256k,2,0,250,5846,257,5.551538100000471,0.10924329998670146,53513.57932899915,45.9365045787978,47.22272670700414,201.3856304075271,1118,
qwen3.6-35b-iq3xxs-256k,3,0,95,5846,98,2.1987790999992285,0.12511439999798313,46725.23706379313,45.812613774996,47.2593278942064,202.38504177166143,445,
qwen3.6-35b-iq3xxs,1,0,123,5819,135,15.321112300007371,12.790641100000357,454.94201224986585,48.607547874743275,53.349747667401154,32.24308981794764,494,
qwen3.6-35b-iq3xxs,2,0,74,5819,79,1.6681919999828096,0.10624470000038855,54769.79086936778,47.37675848655895,50.577890816731845,177.43760910198,296,
