"model","context_k_tokens","depth_pct","passed","answer","latency_s","error"
"qwen3.5-122b-iq2xxs","32","90","True","VIOLET-7734","941.2",""
"qwen3.5-122b-iq2xxs","64","10","True","VIOLET-7734","310.41",""
"qwen3.5-122b-iq2xxs","64","50","True","VIOLET-7734","303.2",""
"qwen3.5-122b-iq2xxs","64","90","True","VIOLET-7734","220.87",""
"qwen3.5-122b-iq2xxs","8","10","True","VIOLET-7734","220.45",""
"qwen3.5-122b-iq2xxs","8","50","True","VIOLET-7734","221.23",""
"qwen3.5-122b-iq2xxs","8","90","True","VIOLET-7734","51.21",""
"qwen3.5-122b-iq2xxs","32","10","True","VIOLET-7734","158.69",""
"qwen3.5-122b-iq2xxs","32","50","True","VIOLET-7734","100.36",""
"qwen3.5-122b-iq2xxs","32","90","True","VIOLET-7734","99.25",""
"qwen3.5-122b-iq2xxs","64","10","True","VIOLET-7734","11.57",""
"qwen3.5-122b-iq2xxs","64","50","True","VIOLET-7734","196.7",""
"qwen3.5-122b-iq2xxs","64","90","True","VIOLET-7734","189.69",""
"llama4-scout-iq2xxs","8","10","True","VIOLET-7734","53.8",""
"llama4-scout-iq2xxs","8","50","True","VIOLET-7734","48.24",""
"llama4-scout-iq2xxs","8","90","True","VIOLET-7734","49.34",""
"llama4-scout-iq2xxs","32","10","True","VIOLET-7734","170.05",""
"llama4-scout-iq2xxs","32","50","True","VIOLET-7734","355.21",""
"llama4-scout-iq2xxs","32","90","True","VIOLET-7734","2769.48",""
"llama4-scout-iq2xxs","64","10","True","VIOLET-7734","1250.46",""
"llama4-scout-iq2xxs","64","50","True","VIOLET-7734","1162.38",""
"llama4-scout-iq2xxs","64","90","True","VIOLET-7734","703.66",""
"llama4-scout-iq2xxs","8","10","True","VIOLET-7734","444.95",""
"llama4-scout-iq2xxs","8","50","True","VIOLET-7734","75.65",""
"llama4-scout-iq2xxs","8","90","True","VIOLET-7734","41.4",""
"llama4-scout-iq2xxs","32","10","True","VIOLET-7734","228.68",""
"llama4-scout-iq2xxs","32","50","True","VIOLET-7734","156.62",""
"llama4-scout-iq2xxs","32","90","True","VIOLET-7734","162.12",""
"llama4-scout-iq2xxs","64","10","True","VIOLET-7734","503.63",""
"llama4-scout-iq2xxs","64","50","True","VIOLET-7734","399.81",""
"llama4-scout-iq2xxs","64","90","True","VIOLET-7734","402.12",""
"qwen3.6-35b-iq4xs","8","10","True","VIOLET-7734","14.41",""
"qwen3.6-35b-iq4xs","8","50","True","VIOLET-7734","13.92",""
"qwen3.6-35b-iq4xs","8","90","True","VIOLET-7734","13.93",""
"qwen3.6-35b-iq4xs","32","10","True","VIOLET-7734","54.02",""
"qwen3.6-35b-iq4xs","32","50","True","VIOLET-7734","53.98",""
"qwen3.6-35b-iq4xs","32","90","True","VIOLET-7734","32.79",""
"qwen3.6-35b-iq4xs","64","10","True","VIOLET-7734","108.03",""
"qwen3.6-35b-iq4xs","64","50","True","VIOLET-7734","65.57",""
"qwen3.6-35b-iq4xs","64","90","True","VIOLET-7734","64.98",""
"qwen3.6-35b-iq4xs","96","10","True","VIOLET-7734","162.84",""
"qwen3.6-35b-iq4xs","96","50","True","VIOLET-7734","98.48",""
"qwen3.6-35b-iq4xs","96","90","True","VIOLET-7734","102.32",""
"qwen3.5-122b-iq2xxs","128","10","True","VIOLET-7734","602.85","79926"
"qwen3.5-122b-iq2xxs","128","50","True","VIOLET-7734","604.68","79928"
"qwen3.5-122b-iq2xxs","128","90","True","VIOLET-7734","363.49","79928"
"qwen3.6-35b-iq4xs","128","10","True","VIOLET-7734","219.24","79926"
"qwen3.6-35b-iq4xs","128","50","True","VIOLET-7734","218.34","79928"
"qwen3.6-35b-iq4xs","128","90","True","VIOLET-7734","131.9","79928"
"qwen3.6-35b-iq4xs","256","10","True","VIOLET-7734","432.86","159784"
"qwen3.6-35b-iq4xs","256","50","True","VIOLET-7734","278.81","159783"
"qwen3.6-35b-iq4xs","256","90","True","VIOLET-7734","254.05","159781"
"qwen3.6-35b-iq3s","128","10","True","VIOLET-7734","165.6","79926"
"qwen3.6-35b-iq3s","128","50","True","VIOLET-7734","165.32","79928"
"qwen3.6-35b-iq3s","128","90","True","VIOLET-7734","101.15","79928"
"qwen3.6-35b-iq3s","256","10","True","VIOLET-7734","334.97","159784"
"qwen3.6-35b-iq3s","256","50","True","VIOLET-7734","218.67","159783"
"qwen3.6-35b-iq3s","256","90","True","VIOLET-7734","200.59","159781"
"reap-40b-i1-iq3xxs","128","10","True","VIOLET-7734","129.3","79923"
"reap-40b-i1-iq3xxs","128","50","True","VIOLET-7734","129.5","79925"
"reap-40b-i1-iq3xxs","128","90","True","VIOLET-7734","81.59","79925"
"reap-40b-i1-iq3xxs","256","10","True","VIOLET-7734","273.59","159781"
"reap-40b-i1-iq3xxs","256","50","True","VIOLET-7734","181.97","159780"
"reap-40b-i1-iq3xxs","256","90","True","VIOLET-7734","168.62","159778"
"qwen3.6-35b-iq3xxs","128","10","False","","0.55","0"
"qwen3.6-35b-iq3xxs","128","50","False","","0.2","0"
"qwen3.6-35b-iq3xxs","128","90","False","","0.19","0"
"qwen3.6-35b-iq3xxs","128","10","True","VIOLET-7734","144.12","79928"
"qwen3.6-35b-iq3xxs","128","50","True","VIOLET-7734","143.27","79930"
"qwen3.6-35b-iq3xxs","128","90","True","VIOLET-7734","88.11","79930"
"qwen3.6-35b-iq3xxs","128","10","False","","178.36","79926"
"qwen3.6-35b-iq3xxs","128","50","False","","179.4","79928"
"qwen3.6-35b-iq3xxs","128","90","False","","94.13","79928"
"qwen3.6-35b-iq3xxs","128","10","False","","151.51","79926"
"qwen3.6-35b-iq3xxs","128","50","False","","185.84","79928"
"qwen3.6-35b-iq3xxs","128","90","False","","15.66","79928"
"qwen3.6-35b-iq3xxs","128","10","True","VIOLET-7734","151.35","79928"
"qwen3.6-35b-iq3xxs","128","50","True","VIOLET-7734","150.99","79930"
"qwen3.6-35b-iq3xxs","128","90","True","VIOLET-7734","92.43","79930"
"qwen3.6-35b-iq3xxs","128","10","True","VIOLET-7734","149.43","79928"
"qwen3.6-35b-iq3xxs","128","50","True","VIOLET-7734","149.69","79930"
"qwen3.6-35b-iq3xxs","128","90","True","VIOLET-7734","91.34","79930"
"qwen3.6-35b-iq3xxs","128","10","True","VIOLET-7734","149.61","79928"
"qwen3.6-35b-iq3xxs","128","50","True","VIOLET-7734","149.58","79930"
"qwen3.6-35b-iq3xxs","128","90","True","VIOLET-7734","91.32","79930"
